SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
GIPCL,EQ,71.9,71.9,69,69.3,69.2,70.45,87422,6095790.55,22-SEP-2020,828,INE162A01010,
GKWLIMITED,EQ,513.3,513.3,456.9,498.85,510,512.15,266,131269.65,22-SEP-2020,31,INE528A01020,
GLAXO,EQ,1680.25,1699,1592,1606.15,1603,1694.65,134117,218280243,22-SEP-2020,10932,INE159A01016,
GLENMARK,EQ,475.25,476.45,441.7,459.3,459.95,473.45,3878375,1788932677.7,22-SEP-2020,56780,INE935A01035,
GLFL,EQ,2.4,2.5,2.4,2.5,2.5,2.4,22499,55864.5,22-SEP-2020,65,INE540A01017,
GLOBALVECT,EQ,49.85,56,49.05,51.2,51.45,49.85,35283,1835757.6,22-SEP-2020,981,INE792H01019,
GLOBE,SM,49.5,50,48.95,49.85,50,50,60000,2966300,22-SEP-2020,19,INE581X01013,
GLOBOFFS,BE,6.3,6.3,6.3,6.3,6.3,6.6,1577,9935.1,22-SEP-2020,5,INE446C01013,
GLOBUSSPR,EQ,280.25,285,262.65,273.2,275,276.45,343115,92890321.45,22-SEP-2020,9021,INE615I01010,
GMBREW,EQ,395,395,370,377.3,377,388.75,23203,8766858.5,22-SEP-2020,1647,INE075D01018,
GMDCLTD,EQ,42.65,42.95,41.25,42,42.1,43.05,511438,21457560.55,22-SEP-2020,3512,INE131A01031,
GMMPFAUDLR,EQ,4682.7,4682.7,4682.7,4682.7,4682.7,5203,21343,99942866.1,22-SEP-2020,4780,INE541A01023,
GMRINFRA,EQ,23,23,21.6,21.75,21.75,23.05,23191042,511858148.3,22-SEP-2020,15910,INE776C01039,
GNA,EQ,224.5,224.5,212,218.05,220,222.7,57005,12360485.1,22-SEP-2020,2181,INE934S01014,
GNFC,EQ,212,214.3,200.5,208.6,208.5,209.6,1588268,329868989.85,22-SEP-2020,22239,INE113A01013,
GOACARBON,EQ,205,205.95,195.2,200.8,202.85,205.15,15637,3122399.25,22-SEP-2020,1088,INE426D01013,
GOCLCORP,EQ,204,205.9,192,196.55,198,201.7,41367,8277514,22-SEP-2020,1842,INE077F01035,
GODFRYPHLP,EQ,915.8,916.45,885.45,901.35,905.75,916.45,51353,46118620.4,22-SEP-2020,4096,INE260B01028,
GODHA,SM,30,30.2,30,30.15,30.1,30,16000,481200,22-SEP-2020,4,INE925Y01010,
GODREJAGRO,EQ,499,505.9,481.25,499.2,498.25,503.15,118199,58599477.65,22-SEP-2020,5865,INE850D01014,
GODREJCP,EQ,685,689.65,666,683.2,680.9,687.3,864996,588153367.8,22-SEP-2020,29635,INE102D01028,
GODREJIND,EQ,397,410.55,380,401.1,400.6,397.8,96347,38108753.4,22-SEP-2020,5422,INE233A01035,
GODREJPROP,EQ,860,863.9,819.75,843.9,847.9,859.6,668347,560304798.2,22-SEP-2020,29779,INE484J01027,
GOENKA,BZ,0.6,0.65,0.55,0.6,0.55,0.6,56218,33546.35,22-SEP-2020,53,INE516K01024,
GOKEX,EQ,60.55,62,55.25,61.05,61.15,60.2,163877,9630255.25,22-SEP-2020,2208,INE887G01027,
GOKUL,EQ,14.9,15.3,14.3,15.2,15.1,15.3,17860,267715.25,22-SEP-2020,118,INE020J01029,
GOKULAGRO,EQ,13.9,14.55,13.4,14.4,14.55,13.9,18100,256031.25,22-SEP-2020,124,INE314T01025,
GOLDBEES,EQ,44.85,44.95,39.2,44.26,44.24,45,7158658,316794955.38,22-SEP-2020,9108,INF204KB17I5,
GOLDENTOBC,EQ,21.8,22.4,21.05,21.75,22.05,21.85,4767,104076.45,22-SEP-2020,75,INE973A01010,
GOLDIAM,EQ,124,124,114.05,123.1,123,122.05,50821,6105538.05,22-SEP-2020,1822,INE025B01017,
GOLDSHARE,EQ,4624,4624,4575.5,4599.35,4604,4653.65,1383,6367153.9,22-SEP-2020,396,INF789F01059,
GOLDTECH,BE,9.25,9.25,8.6,8.8,9,8.95,13390,118806.25,22-SEP-2020,51,INE805A01014,
GOODLUCK,EQ,38.8,39.2,36.75,38.2,38.25,39.05,54368,2049527.4,22-SEP-2020,636,INE127I01024,
GPIL,EQ,276,285,269.05,276.6,278.4,283.2,56191,15405736.1,22-SEP-2020,1264,INE177H01013,
GPPL,EQ,87.2,87.9,82.55,86,86,87.6,343028,29268914.95,22-SEP-2020,6980,INE517F01014,
GPTINFRA,EQ,26.75,27.95,26.15,26.95,26.9,27.2,15836,424714.45,22-SEP-2020,152,INE390G01014,
GRANULES,EQ,363,363.7,330.75,352.7,354.9,360.55,4657364,1617595193.65,22-SEP-2020,68578,INE101D01020,
GRAPHITE,EQ,174,176.8,165,168.35,168.6,175.65,690098,116776303.95,22-SEP-2020,17761,INE371A01025,
GRASIM,EQ,720.4,746,706.8,729.1,727.45,716.85,3313571,2407916076.8,22-SEP-2020,54246,INE047A01021,
GRAVITA,EQ,47,49.45,45.3,48.85,48.8,46.5,162816,7822937,22-SEP-2020,1045,INE024L01027,
GREAVESCOT,EQ,74.2,74.85,71.1,73.2,73.25,74.9,384122,27976366.4,22-SEP-2020,4844,INE224A01026,
GREENLAM,EQ,725,734,676.15,722.35,725,730.2,5793,4156464.55,22-SEP-2020,383,INE544R01013,
GREENPANEL,EQ,45,47.6,44.05,46.05,46,46.35,74003,3338296.9,22-SEP-2020,382,INE08ZM01014,
GREENPLY,EQ,87.3,88.1,82.1,86.4,87.5,87.3,224558,19108731.25,22-SEP-2020,2432,INE461C01038,
GREENPOWER,EQ,1.8,1.85,1.8,1.8,1.8,1.85,650430,1172005.65,22-SEP-2020,690,INE999K01014,
GRINDWELL,EQ,530,547,502.6,542.2,543.9,531.95,20902,10993129.9,22-SEP-2020,1758,INE536A01023,
GROBTEA,BE,515.25,515.25,505,510,510,515.25,133,68295.25,22-SEP-2020,14,INE646C01018,
GRPLTD,EQ,713.05,716,700,700.35,701.5,705.4,1659,1165053.4,22-SEP-2020,36,INE137I01015,
GRSE,EQ,175.5,175.5,166.05,170.75,172.3,174.55,160690,27488168,22-SEP-2020,5892,INE382Z01011,
GSCLCEMENT,EQ,27,27.55,26.2,26.7,26.7,27.45,38711,1031469,22-SEP-2020,466,INE542A01039,
